Level,Sentence,Option A,Option B,Option C,Option D,Correct
A1.1,"שלום, אני דוד, מי _____? אני אנה.",אתה,אני,את,היא,את
A1.1,זאת המחברת ___ דניאל.,את,ל,עם,של,של
A1.1,היא לא ____ עברית.,מדברת,אוכלת,שרה,פוגשת,מדברת
A1.1,זה בית. אלה _______.,ביתים,ביתיים,בתים,ביתות,בתים
A1.1,היא ______ בבוקר ו_____ בערב.,"ללמוד, לעבוד","עובדת, לומדת","עובד, לומד","לעבוד, ללמוד","עובדת, לומדת"
A1.1,אני לא אוהבת קפה ____ חלב.,ליד,בלי,-,ו,בלי
A1.1,זאת אישה. אלה ______.,אישות,אישים,איש,נשים,נשים
A1.1,אני אוהב _____ המשפחה שלי.,את,עם,ל,של,את
A1.1,יש לי דירה ______ עם (5)_______ חדרים ומטבח.,"גדול, חמש","גדולה, חמש","גדולה, חמישה","גדול, חמישה","גדולה, חמישה"
A1.2,אנחנו ________ עברית.,אוכלים,לומדים,שרים,פוגשים,לומדים
A1.2,היום יום רביעי. _______ יום חמישי.,מחר,אתמול,שלשום,למה,מחר
A1.2,אני לא מבינה כי את מדברת ________.,מהר,לאט,מהרת,מהרה,מהר
A1.2,"אנחנו ________ בחולון, אבל רוצים _________ בתל אביב.","גרים, לגור","לגור, גרים","בא, לבוא","באים, לגור","גרים, לגור"
A1.2,למה אתם _______ ירקות בסופרמרקט? זה מאוד _______!,"קונים, יקר","לקנות, יקר","קונים, זול","קונות, יקר","קונים, יקר"
A1.2,"אתה עובד ___________? לא, ביום שישי וביום שבת אני לא עובד.",כל השבוע,כל שבוע,כל היום,מתי,כל השבוע
A1.2,למה את רוצה _________ בצ'ק? ______ האשראי שלי בבית.,"לשלם, כי","משלמת, למה","לקבל, כי","לבקש, למה","לשלם, כי"
A1.2,אני אוהב לאכול בבית. אני לא אוהב __________ אוכל ממסעדות.,להזמין,להרגיש,לבוא,להתפלל,להזמין
A1.2,אני מאוד ________ כי דויד ואנה מתחתנים היום.,מתרגשת,מרגישה,להרגיש,מסיבה,מתרגשת
A1.2,עוגת _________ של דויד מאוד טעימה!,השוקולד,שוקולד,ושוקולד,בית,שוקולד
A1.3,"אף פעם ____ אכלתי שם, אבל שמעתי שזה מקום טוב.",כמו,לא,אף אחד,-,לא
A1.3,"רציתי לשבת ______ אחרי השיעור, יש לך זמן?",איתו,איתך,עם,עם אתה,איתך
A1.3,___ היינו בחתונה התרגשתי מאוד.,ש,עם,אם,כש,כש
A1.3,"הם גרים עכשיו בתל אביב, אבל לפני שנה הם _______ בטוקיו.",גרו,לגור,גרים,גר,גרו
A1.3,חברה ____   _________ פילוסופיה באוניברסיטת תל אביב.,"שלו, למדה","שלי, ללמוד","שלו, למד","שלך, למדת","שלו, למדה"
A1.3,"אתמול לא ________ טוב, _____ לא באתי לשיעור.","הרגשתי, ולכן","מרגיש, אם","להרגיש, ולכן","הרגשת, אם","הרגשתי, ולכן"
A1.3,איפה ההורים שלך? לא ראיתי ______ הרבה זמן!,איתם,אותם,את,הם,אותם
A1.3,"חברה שלו נוסעת לטיול באמריקה, והוא _______ ________ ________.",רוצה לנסוע איתה,רוצה נוסע איתו,רוצה לנסוע אתה,רוצים לנסוע עם היא,רוצה לנסוע איתה
A1.3,"הפרופסור ________ כמו סטודנט, ולכן _____________ הקשיב בשיעור.","התלבש, אף אחד לא","לובש, אף אחד לא","מתלבש, אף אחד","להתלבש, אף אחד","התלבש, אף אחד לא"
A2.1,גם אני וגם גליה למדנו באוניברסיטת תל אביב. למדנו ב____________.,אותה אוניברסיטה,אותו אוניברסיטה,אותה אוניברסיטת,אותו דבר,אותה אוניברסיטה
A2.1,"היום יש פה חוף יפה, אבל בעתיד _________ פה הרבה הרבה מלונות.",יהיו,יש,היו,יהיה,יהיו
A2.1,שכחתי את התיק ______ ההורים שלי! שכחתי את התיק _______.,"אצל, אצלם","ב, בהם","ב, אצל","גם, אצלי","אצל, אצלם"
A2.1,אני פוחד מהכלב הזה. אני פוחד _______    _________ הוא גדול.,"ממנו, בגלל ש","מהוא, מפני ש","ממנו, בגלל","ממני, מפני","ממנו, בגלל ש"
A2.1,היא עבדה קשה ולא נחה כל השבוע. בסוף השבוע היא _______ הרבה.,תנוח,ינוח,אנוח,תנוחי,תנוח
A2.1,אל ______ על זה עם אף אחד בבקשה.,מדברת,לדבר,תדברי,ידברו,תדברי
A2.1,פעם היינו ________ כל שנה לכינרת.,לנסוע,לצאת,נוסע,נוסעים,נוסעים
A2.2,"חנה, אם ________ כל יום עיתון בעברית, ________ הרבה מילים חדשות.","תקראי, תלמדי","לקרוא, ללמוד","קראת, לומדת","תקרא, תלמד","תקראי, תלמדי"
A2.2,"דויד, ________ את החדר שלך לפני שאתה ________ לחברים!","תסדר, הולך","סידרת, הלכת","אסדר, ללכת","מסדר, הולך","תסדר, הולך"
A2.2,"חברים, אל ________ הרבה במסיבה, אתם צריכים _______ אחר כך.","תשתו, לנהוג","לשתות, נהיגה","תשתי, תנהגי","שתו, לנהוג","תשתו, לנהוג"
A2.2,קניתי הרבה תפוחי אדמה ובשר _________ לבשל ארוחת ערב גדולה.,כדי,בגלל,כדי ש,כי,כדי
A2.2,אין לנו זמן לקרר את היין לפני הארוחה. ________ היין לוקח זמן.,קירור,לקרר,קירורי,קר,קירור
A2.2,הם לא ________ לעצור את התכנית שלו.,יצליחו,יכולות,לרצות,הצלחה,יצליחו
A2.2,"הוא בן אדם רע ופוליטיקאי נורא, ולכן אף אחד לא בחר _____.",בו,בי,בשבילו,את,בו
A2.3,"אם יותר אנשים ________, החברה הישראלית ________ טובה יותר.","יתנדבו, תהיה","יתנדב, תהיה","מתנדבים, להיות","יתנדבו, הייתה","יתנדבו, תהיה"
A2.3,אתם לא יכולים לשבת במקומות האלה כי ____________.,הם שמורים,הוא שמור,שומרים,הן שמורות,הם שמורים
A2.3,ב__________ לא אומרים _________ אלא _________.,"יום הולדת, שנה טובה, מזל טוב","יום הולדת, מזל טוב, שנה טובה","פסח, חג שמח, מזל טוב","יום כיפור, צום קל, חג שמח","יום הולדת, שנה טובה, מזל טוב"
A2.3,"אנחנו ________ בבית עכשיו, ואחר כך _________ עם חברים.","נשארים, נפגשים","נשארים, פוגשים","להיות, נפגוש","להיות, נפגשים","נשארים, נפגשים"
A2.3,"התקשרתי _______ כבר חמש פעמים, והוא לא ענה ____ עדיין.","אליו, לי","אלו, לי","לו, לי","עליו, 0","אליו, לי"
A2.3,קשה לחגוג בלי חיים ורותי. ה________ לא תהיה מעניינת ________.,"חגיגה, בלעדיהם","חג, בלעדיהם","חג, בליהם","חגיגה, בליהם","חגיגה, בלעדיהם"
